,PlayerName,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
197,Jace Amaro,NYJ,22,TE,14,4,53,38,345,9.1,2,20,49.1,43,2.7,24.6,71.7%,6.5,,,0,0,,,,,,38,9.1,345,2,1,AmarJa00
198,Brent Celek,PHI,29,TE,16,15,51,32,340,10.6,1,16,51.0,37,2.0,21.3,62.7%,6.7,,,0,0,,,,,,32,10.6,340,1,1,CeleBr00
199,Victor Cruz,NYG,28,WR,6,6,41,23,337,14.7,1,13,43.9,61,3.8,56.2,56.1%,8.2,,,0,0,,,,,,23,14.7,337,1,,CruzVi00
200,Travaris Cadet,NOR,25,RB,15,1,51,38,296,7.8,1,15,51.0,31,2.5,19.7,74.5%,5.8,10,32,0,1,40.0,8,3.2,2.1,0.7,48,6.8,328,1,2,CadeTr00
201,Dexter McCluster,TEN,25,WR,14,2,36,26,197,7.6,1,10,44.4,25,1.9,14.1,72.2%,5.5,40,131,0,7,42.5,16,3.3,9.4,2.9,66,5.0,328,1,1,McClDe00
202,Travis Benjamin,CLE,25,WR,16,0,46,18,314,17.4,3,14,37.0,43,1.1,19.6,39.1%,6.8,3,11,0,1,66.7,10,3.7,0.7,0.2,21,15.5,325,3,2,BenjTr00
203,Andrew Quarless,GNB,26,TE,16,11,46,29,323,11.1,3,20,58.7,34,1.8,20.2,63.0%,7.0,,,0,0,,,,,,29,11.1,323,3,,QuarAn00
204,Lance Dunbar,DAL,24,RB,16,0,22,18,217,12.1,0,12,59.1,40,1.1,13.6,81.8%,9.9,29,99,0,6,37.9,14,3.4,6.2,1.8,47,6.7,316,0,,DunbLa00
205,Jeremy Ross,DET,26,WR,16,13,35,24,314,13.1,1,15,51.4,59,1.5,19.6,68.6%,9.0,2,-1,0,0,0.0,4,-0.5,-0.1,0.1,26,12.0,313,1,4,RossJe01
206,Damien Williams,MIA,22,RB,16,0,27,21,187,8.9,1,13,63.0,32,1.3,11.7,77.8%,6.9,36,122,0,6,47.2,19,3.4,7.6,2.3,57,5.4,309,1,,WillDa05
207,Ryan Tannehill,MIA,26,QB,16,16,1,1,-4,-4.0,0,0,0.0,0,0.1,-0.3,100.0%,-4.0,56,311,1,18,55.4,40,5.6,19.4,3.5,57,5.4,307,1,9,TannRy00
208,Josh Gordon,CLE,23,WR,5,5,47,24,303,12.6,0,16,40.4,32,4.8,60.6,51.1%,6.4,,,0,0,,,,,,24,12.6,303,0,,GordJo02
209,Bryce Brown,BUF,23,RB,7,2,25,16,176,11.0,0,8,60.0,40,2.3,25.1,64.0%,7.0,36,126,0,6,47.2,14,3.5,18.0,5.1,52,5.8,302,0,1,BrowBr02
210,Juwan Thompson,DEN,22,RB,15,0,7,4,25,6.3,0,0,28.6,14,0.3,1.7,57.1%,3.6,54,272,3,19,57.4,47,5.0,18.1,3.6,58,5.1,297,3,1,ThomJu01
211,Brandon Gibson,MIA,27,WR,14,5,51,29,295,10.2,1,14,43.1,40,2.1,21.1,56.9%,5.8,,,0,0,,,,,,29,10.2,295,1,2,GibsBr00
212,Brandon Lloyd,SFO,33,WR,14,3,35,14,294,21.0,1,11,37.1,80,1.0,21.0,40.0%,8.4,,,0,0,,,,,,14,21.0,294,1,,LloyBr00
213,Clay Harbor,JAX,27,TE,13,8,35,26,289,11.1,1,12,42.9,59,2.0,22.2,74.3%,8.3,,,0,0,,,,,,26,11.1,289,1,,HarbCl00
214,Daniel Thomas,MIA,27,RB,12,0,19,13,121,9.3,0,8,47.4,25,1.1,10.1,68.4%,6.4,44,168,2,8,54.5,15,3.8,14.0,3.7,57,5.1,289,2,1,ThomDa03
215,Stepfan Taylor,ARI,23,RB,14,4,15,11,79,7.2,3,5,53.3,18,0.8,5.6,73.3%,5.3,63,208,1,13,39.7,21,3.3,14.9,4.5,74,3.9,287,4,,TaylSt00
216,Dion Sims,MIA,23,TE,14,2,36,24,284,11.8,2,13,58.3,38,1.7,20.3,66.7%,7.9,,,0,0,,,,,,24,11.8,284,2,,SimsDi00
217,Brice Butler,OAK,24,WR,15,0,35,21,280,13.3,2,14,51.4,55,1.4,18.7,60.0%,8.0,,,0,0,,,,,,21,13.3,280,2,,ButlBr00
218,Andrew Luck*,IND,25,QB,16,16,,,,,0,0,,,,,,,64,273,3,20,42.2,20,4.3,17.1,4.0,64,4.3,273,3,13,LuckAn00
219,Paul Richardson,SEA,22,WR,15,6,44,29,271,9.3,1,16,50.0,32,1.9,18.1,65.9%,6.2,,,0,0,,,,,,29,9.3,271,1,1,RichPa01
220,Aaron Rodgers*+,GNB,31,QB,16,16,,,,,0,0,,,,,,,43,269,2,22,58.1,19,6.3,16.8,2.7,43,6.3,269,2,10,RodgAa00
221,De'Anthony Thomas,KAN,21,RB,12,3,31,23,156,6.8,0,8,38.7,30,1.9,13.0,74.2%,5.0,14,113,1,3,71.4,26,8.1,9.4,1.2,37,7.3,269,1,,ThomDe05
222,Kamar Aiken,BAL,25,WR,16,0,32,24,267,11.1,3,15,68.8,24,1.5,16.7,75.0%,8.3,,,0,0,,,,,,24,11.1,267,3,,AikeKa00
223,Kenbrell Thompkins,2TM,26,WR,14,7,48,21,262,12.5,0,26,33.3,50,1.5,18.7,43.8%,5.5,2,5,0,0,50.0,7,2.5,0.4,0.1,23,11.6,267,0,,ThomKe02
224,DeAngelo Williams,CAR,31,RB,6,6,6,5,44,8.8,0,2,66.7,30,0.8,7.3,83.3%,7.3,62,219,0,7,43.5,17,3.5,36.5,10.3,67,3.9,263,0,1,WillDe02
225,Albert Wilson,KAN,22,WR,12,2,28,16,260,16.3,0,12,53.6,48,1.3,21.7,57.1%,9.3,,,0,0,,,,,,16,16.3,260,0,,WilsAl02
226,Lance Kendricks,STL,26,TE,16,14,38,27,259,9.6,5,17,63.2,23,1.7,16.2,71.1%,6.8,,,0,0,,,,,,27,9.6,259,5,,KendLa00
227,Chase Ford,MIN,24,TE,11,5,35,23,258,11.2,1,15,57.1,22,2.1,23.5,65.7%,7.4,,,0,0,,,,,,23,11.2,258,1,,FordCh00
228,Kerwynn Williams,ARI,23,RB,5,0,6,2,11,5.5,0,0,16.7,6,0.4,2.2,33.3%,1.8,53,246,0,11,52.8,19,4.6,49.2,10.6,55,4.7,257,0,1,WillKe05
229,Tim Wright,NWE,24,TE,16,2,33,26,259,10.0,6,18,66.7,30,1.6,16.2,78.8%,7.8,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,27,9.5,257,6,,WrigTi01
230,Marlon Brown,BAL,23,WR,14,1,31,24,255,10.6,0,16,58.1,22,1.7,18.2,77.4%,8.2,,,0,0,,,,,,24,10.6,255,0,,BrowMa00
231,Derek Hagan,TEN,30,WR,16,3,34,19,254,13.4,1,10,35.3,38,1.2,15.9,55.9%,7.5,,,0,0,,,,,,19,13.4,254,1,,HagaDe00
232,Alex Smith,KAN,30,QB,15,15,,,,,0,0,,,,,,,49,254,1,15,46.9,25,5.2,16.9,3.3,49,5.2,254,1,4,SmitAl03
233,Vernon Davis,SFO,30,TE,14,14,50,26,245,9.4,2,11,36.0,29,1.9,17.5,52.0%,4.9,1,4,0,0,100.0,4,4.0,0.3,0.1,27,9.2,249,2,,DaviVe00
234,Eric Ebron,DET,21,TE,13,7,47,25,248,9.9,1,14,44.7,22,1.9,19.1,53.2%,5.3,,,0,0,,,,,,25,9.9,248,1,,EbroEr00
235,Jeff Cumberland,NYJ,27,TE,16,14,47,23,247,10.7,3,12,36.2,28,1.4,15.4,48.9%,5.3,,,0,0,,,,,,23,10.7,247,3,,CumbJe00
236,Jim Dray,CLE,28,TE,16,8,27,17,242,14.2,1,12,51.9,31,1.1,15.1,63.0%,9.0,,,0,0,,,,,,17,14.2,242,1,,DrayJi00
237,Jonathan Grimes,HOU,25,RB,16,0,8,6,86,14.3,0,4,62.5,31,0.4,5.4,75.0%,10.8,39,153,0,5,43.6,11,3.9,9.6,2.4,45,5.3,239,0,,GrimJo01
238,Geno Smith,NYJ,24,QB,14,13,1,0,0,,0,0,0.0,0,0.0,0.0,0.0%,0.0,59,238,1,18,42.4,18,4.0,17.0,4.2,59,4.0,238,1,8,SmitGe00
239,Levine Toilolo,ATL,23,TE,16,16,54,31,238,7.7,2,15,40.7,20,1.9,14.9,57.4%,4.4,,,0,0,,,,,,31,7.7,238,2,1,ToilLe00
240,Montee Ball,DEN,24,RB,5,3,13,9,62,6.9,0,2,30.8,16,1.8,12.4,69.2%,4.8,55,172,1,9,41.8,23,3.1,34.4,11.0,64,3.7,234,1,1,BallMo00
241,Bilal Powell,NYJ,26,RB,15,1,15,11,92,8.4,0,5,33.3,20,0.7,6.1,73.3%,6.1,33,141,1,7,48.5,15,4.3,9.4,2.2,44,5.3,233,1,,PoweBi00
242,Kyle Rudolph,MIN,25,TE,9,8,34,24,231,9.6,2,13,64.7,23,2.7,25.7,70.6%,6.8,,,0,0,,,,,,24,9.6,231,2,1,RudoKy00
243,Jaron Brown,ARI,24,WR,16,2,32,22,229,10.4,2,14,53.1,26,1.4,14.3,68.8%,7.2,,,0,0,,,,,,22,10.4,229,2,1,BrowJa03
244,Anthony Fasano,KAN,30,TE,15,13,36,25,226,9.0,4,15,52.8,22,1.7,15.1,69.4%,6.3,,,0,0,,,,,,25,9.0,226,4,,FasaAn00
245,Ladarius Green,SDG,24,TE,14,4,25,19,226,11.9,0,12,60.0,28,1.4,16.1,76.0%,9.0,,,0,0,,,,,,19,11.9,226,0,,GreeLa00
246,Richard Rodgers,GNB,22,TE,16,5,30,20,225,11.3,2,10,50.0,43,1.3,14.1,66.7%,7.5,,,0,0,,,,,,20,11.3,225,2,,RodgRi00
247,Austin Seferian-Jenkins,TAM,22,TE,9,9,38,21,221,10.5,2,12,50.0,30,2.3,24.6,55.3%,5.8,,,0,0,,,,,,21,10.5,221,2,1,SefeAu00
248,Nick Toon,NOR,26,WR,8,2,23,17,215,12.6,1,13,73.9,24,2.1,26.9,73.9%,9.3,1,4,0,0,100.0,4,4.0,0.5,0.1,18,12.2,219,1,1,ToonNi00
249,Leon Washington,TEN,32,RB,16,0,31,22,159,7.2,2,8,32.3,25,1.4,9.9,71.0%,5.1,13,57,0,1,15.4,16,4.4,3.6,0.8,35,6.2,216,2,3,WashLe00
250,Ka'Deem Carey,CHI,22,RB,14,0,6,5,57,11.4,0,2,66.7,18,0.4,4.1,83.3%,9.5,36,158,0,11,52.8,15,4.4,11.3,2.6,41,5.2,215,0,,CareKa00
251,Brandon Tate,CIN,27,WR,16,4,26,17,193,11.4,1,12,53.8,50,1.1,12.1,65.4%,7.4,3,21,0,1,66.7,12,7.0,1.3,0.2,20,10.7,214,1,2,TateBr00
252,Corey Fuller,DET,24,WR,16,2,31,14,212,15.1,1,11,45.2,52,0.9,13.3,45.2%,6.8,,,0,0,,,,,,14,15.1,212,1,1,FullCo00
253,Teddy Bridgewater,MIN,22,QB,13,12,,,,,0,0,,,,,,,47,209,1,15,46.8,16,4.4,16.1,3.6,47,4.4,209,1,3,BridTe00
254,Rhett Ellison,MIN,26,TE,16,13,26,19,208,10.9,1,12,61.5,40,1.2,13.0,73.1%,8.0,,,0,0,,,,,,19,10.9,208,1,,ElliRh00
255,Marcedes Lewis,JAX,30,TE,8,8,31,18,206,11.4,2,10,48.4,63,2.3,25.8,58.1%,6.6,,,0,0,,,,,,18,11.4,206,2,,LewiMa00
256,Fozzy Whittaker,CAR,25,RB,10,1,6,5,60,12.0,1,2,66.7,26,0.5,6.0,83.3%,10.0,32,145,1,8,40.6,17,4.5,14.5,3.2,37,5.5,205,2,,WhitFo00
257,Peyton Hillis,NYG,28,RB,9,0,16,10,87,8.7,0,2,37.5,26,1.1,9.7,62.5%,5.4,26,115,0,4,38.5,16,4.4,12.8,2.9,36,5.6,202,0,,HillPe00
258,Danny Amendola,NWE,29,WR,16,4,42,27,200,7.4,1,12,42.9,21,1.7,12.5,64.3%,4.8,,,0,0,,,,,,27,7.4,200,1,,AmenDa00
259,Bruce Miller,SFO,27,RB,16,8,25,18,189,10.5,2,11,60.0,22,1.1,11.8,72.0%,7.6,6,9,0,2,33.3,4,1.5,0.6,0.4,24,8.3,198,2,1,MillBr02
260,Lance Moore,PIT,31,WR,14,2,26,14,198,14.1,2,11,42.3,29,1.0,14.1,53.8%,7.6,,,0,0,,,,,,14,14.1,198,2,,MoorLa00
261,Garrett Graham,HOU,28,TE,11,9,28,18,197,10.9,1,10,50.0,26,1.6,17.9,64.3%,7.0,,,0,0,,,,,,18,10.9,197,1,,GrahGa00
262,Ricardo Lockette,SEA,28,WR,16,0,15,11,195,17.7,2,5,53.3,48,0.7,12.2,73.3%,13.0,1,2,0,0,0.0,2,2.0,0.1,0.1,12,16.4,197,2,,LockRi00
263,Ted Ginn Jr.,ARI,29,WR,16,0,26,14,190,13.6,0,9,42.3,27,0.9,11.9,53.8%,7.3,3,6,0,0,0.0,4,2.0,0.4,0.2,17,11.5,196,0,2,GinnTe00
264,Jay Cutler,CHI,31,QB,15,15,,,,,0,0,,,,,,,39,191,2,14,38.5,25,4.9,12.7,2.6,39,4.9,191,2,12,CutlJa00
265,Brandon Myers,TAM,29,TE,14,6,32,22,190,8.6,0,8,43.8,26,1.6,13.6,68.8%,5.9,,,0,0,,,,,,22,8.6,190,0,,MyerBr00
266,Daniel Fells,NYG,31,TE,16,9,20,16,188,11.8,4,12,80.0,27,1.0,11.8,80.0%,9.4,,,0,0,,,,,,16,11.8,188,4,1,FellDa00
267,Chris Polk,PHI,25,RB,14,0,3,2,16,8.0,0,1,33.3,15,0.1,1.1,66.7%,5.3,46,172,4,12,50.0,22,3.7,12.3,3.3,48,3.9,188,4,1,PolkCh00
268,Andy Dalton*,CIN,27,QB,16,16,1,1,18,18.0,1,1,100.0,18,0.1,1.1,100.0%,18.0,60,169,4,21,46.7,20,2.8,10.6,3.8,61,3.1,187,5,3,DaltAn00
269,Christine Michael,SEA,24,RB,10,0,2,1,12,12.0,0,0,50.0,12,0.1,1.2,50.0%,6.0,34,175,0,11,50.0,45,5.1,17.5,3.4,35,5.3,187,0,1,MichCh00
270,Greg Salas,NYJ,26,WR,10,2,23,8,167,20.9,0,6,34.8,51,0.8,16.7,34.8%,7.3,1,20,1,1,100.0,20,20.0,2.0,0.1,9,20.8,187,1,,SalaGr00
271,Cooper Helfet,SEA,25,TE,10,2,24,12,185,15.4,2,9,41.7,36,1.2,18.5,50.0%,7.7,,,0,0,,,,,,12,15.4,185,2,,HelfCo00
272,Ryan Fitzpatrick,HOU,32,QB,12,12,,,,,0,0,,,,,,,50,184,2,13,46.0,16,3.7,15.3,4.2,50,3.7,184,2,5,FitzRy00
273,Kyle Juszczyk,BAL,23,RB,16,14,27,19,182,9.6,1,6,59.3,33,1.2,11.4,70.4%,6.7,,,0,0,,,,,,19,9.6,182,1,2,JuszKy00
274,Silas Redd,WAS,22,RB,15,0,10,8,107,13.4,0,5,60.0,37,0.5,7.1,80.0%,10.7,16,75,1,6,50.0,14,4.7,5.0,1.1,24,7.6,182,1,1,ReddSi00
275,Donnie Avery,KAN,30,WR,6,3,26,15,176,11.7,0,8,50.0,27,2.5,29.3,57.7%,6.8,,,0,0,,,,,,15,11.7,176,0,1,AverDo00
276,Robert Griffin III,WAS,24,QB,9,7,,,,,0,0,,,,,,,38,176,1,10,42.1,23,4.6,19.6,4.2,38,4.6,176,1,9,GrifRo01
277,Josh Hill,NOR,24,TE,16,3,20,14,176,12.6,5,9,60.0,37,0.9,11.0,70.0%,8.8,,,0,0,,,,,,14,12.6,176,5,,HillJo02
278,Mike Tolbert,CAR,29,RB,8,6,17,12,93,7.8,0,4,23.5,18,1.5,11.6,70.6%,5.5,37,78,0,5,27.0,15,2.1,9.8,4.6,49,3.5,171,0,,TolbMi00
279,Maurice Jones-Drew,OAK,29,RB,12,1,16,11,71,6.5,0,3,43.8,12,0.9,5.9,68.8%,4.4,43,96,0,2,23.3,13,2.2,8.0,3.6,54,3.1,167,0,1,DrewMa00
280,Chris Givens,STL,25,WR,14,0,20,11,159,14.5,1,5,35.0,47,0.8,11.4,55.0%,8.0,1,4,0,1,100.0,4,4.0,0.3,0.1,12,13.6,163,1,,GiveCh00
281,Joe Morgan,NOR,26,WR,5,2,10,4,92,23.0,0,3,40.0,62,0.8,18.4,40.0%,9.2,1,67,0,1,100.0,67,67.0,13.4,0.2,5,31.8,159,0,,MorgJo01
282,Dontrelle Inman,SDG,25,WR,7,0,17,12,158,13.2,0,7,70.6,28,1.7,22.6,70.6%,9.3,,,0,0,,,,,,12,13.2,158,0,,InmaDo00
283,Gary Barnidge,CLE,29,TE,13,2,25,13,156,12.0,0,9,40.0,28,1.0,12.0,52.0%,6.2,,,0,0,,,,,,13,12.0,156,0,,BarnGa01
284,Knowshon Moreno,MIA,27,RB,3,0,1,1,8,8.0,0,0,100.0,8,0.3,2.7,100.0%,8.0,31,148,1,8,64.5,15,4.8,49.3,10.3,32,4.9,156,1,,MoreKn00
285,Michael Vick,NYJ,34,QB,10,3,,,,,0,0,,,,,,,26,153,0,10,50.0,24,5.9,15.3,2.6,26,5.9,153,0,5,VickMi00
286,Brenton Bersin,CAR,24,WR,15,1,20,13,151,11.6,1,11,65.0,29,0.9,10.1,65.0%,7.6,,,0,0,,,,,,13,11.6,151,1,2,BersBr00
287,Robert Hughes,ARI,25,RB,16,4,12,8,140,17.5,0,7,66.7,49,0.5,8.8,66.7%,11.7,7,11,0,3,42.9,5,1.6,0.7,0.4,15,10.1,151,0,,HughRo00
288,Joe Banyard,MIN,26,RB,15,0,11,9,62,6.9,0,4,54.5,12,0.6,4.1,81.8%,5.6,21,88,0,4,52.4,16,4.2,5.9,1.4,30,5.0,150,0,,BanyJo00
289,Jacoby Jones,BAL,30,WR,16,0,18,9,131,14.6,0,6,44.4,31,0.6,8.2,50.0%,7.3,3,16,0,2,66.7,11,5.3,1.0,0.2,12,12.3,147,0,4,JoneJa03
290,Matt Ryan*,ATL,29,QB,16,16,,,,,0,0,,,,,,,29,145,0,10,58.6,15,5.0,9.1,1.8,29,5.0,145,0,5,RyanMa00
291,Jake Locker,TEN,26,QB,7,5,,,,,0,0,,,,,,,22,142,1,11,59.1,29,6.5,20.3,3.1,22,6.5,142,1,3,LockJa00
292,Mike Williams,BUF,27,WR,9,0,19,8,142,17.8,1,3,31.6,80,0.9,15.8,42.1%,7.5,,,0,0,,,,,,8,17.8,142,1,,WillMi04
293,Marquess Wilson,CHI,22,WR,7,6,32,17,140,8.2,1,7,40.6,17,2.4,20.0,53.1%,4.4,,,0,0,,,,,,17,8.2,140,1,,WilsMa02
294,Rishard Matthews,MIA,25,WR,14,0,22,12,135,11.3,2,9,45.5,23,0.9,9.6,54.5%,6.1,1,3,0,0,0.0,3,3.0,0.2,0.1,13,10.6,138,2,1,MattRi00
295,Adam Thielen,MIN,24,WR,16,2,13,8,137,17.1,1,7,53.8,44,0.5,8.6,61.5%,10.5,,,0,0,,,,,,8,17.1,137,1,,ThieAd00
296,Ben Watson,NOR,34,TE,16,8,31,20,136,6.8,2,9,35.5,15,1.3,8.5,64.5%,4.4,,,0,0,,,,,,20,6.8,136,2,,WatsBe00
297,MarQueis Gray,2TM,25,TE,13,5,11,9,134,14.9,0,8,81.8,41,0.7,10.3,81.8%,12.2,,,0,0,,,,,,9,14.9,134,0,,GrayMa00
298,Tony Moeaki,SEA,27,TE,6,2,13,8,134,16.8,1,6,46.2,63,1.3,22.3,61.5%,10.3,,,0,0,,,,,,8,16.8,134,1,,MoeaTo00
299,Rob Housler,ARI,26,TE,15,7,17,9,129,14.3,0,7,47.1,27,0.6,8.6,52.9%,7.6,1,1,0,1,100.0,1,1.0,0.1,0.1,10,13.0,130,0,1,HousRo01
300,Josh McCown,TAM,35,QB,11,11,,,,,0,0,,,,,,,25,127,3,12,48.0,16,5.1,11.5,2.3,25,5.1,127,3,10,McCoJo01
301,Dennis Pitta,BAL,29,TE,3,3,21,16,125,7.8,0,7,61.9,24,5.3,41.7,76.2%,6.0,,,0,0,,,,,,16,7.8,125,0,,PittDe00
302,Dwayne Harris,DAL,27,WR,16,0,12,7,116,16.6,0,2,50.0,56,0.4,7.3,58.3%,9.7,4,7,0,0,25.0,9,1.8,0.4,0.3,11,11.2,123,0,4,HarrDw00
303,Crockett Gillmore,BAL,23,TE,15,1,15,10,121,12.1,1,8,66.7,22,0.7,8.1,66.7%,8.1,,,0,0,,,,,,10,12.1,121,1,,GillCr00
304,James Wright,CIN,23,WR,11,0,16,5,91,18.2,0,5,31.3,30,0.5,8.3,31.3%,5.7,3,30,0,2,100.0,13,10.0,2.7,0.3,8,15.1,121,0,,WrigJa03
305,Vincent Brown,OAK,25,WR,7,0,21,12,118,9.8,0,6,47.6,20,1.7,16.9,57.1%,5.6,,,0,0,,,,,,12,9.8,118,0,,BrowVi00
306,Jack Doyle,IND,24,TE,16,1,22,18,118,6.6,2,7,59.1,20,1.1,7.4,81.8%,5.4,,,0,0,,,,,,18,6.6,118,2,,DoylJa00
307,Austin Pettis,2TM,26,WR,9,0,17,12,118,9.8,1,14,64.7,27,1.3,13.1,70.6%,6.9,,,0,0,,,,,,12,9.8,118,1,,PettAu00
308,Denarius Moore,OAK,26,WR,10,2,27,12,115,9.6,0,6,29.6,28,1.2,11.5,44.4%,4.3,1,1,0,0,0.0,1,1.0,0.1,0.1,13,8.9,116,0,1,MoorDe02
309,Santana Moss,WAS,35,WR,10,0,15,10,116,11.6,0,6,53.3,19,1.0,11.6,66.7%,7.7,,,0,0,,,,,,10,11.6,116,0,,MossSa00
310,Dante Rosario,CHI,30,TE,16,3,22,16,116,7.3,0,3,45.5,22,1.0,7.3,72.7%,5.3,,,0,0,,,,,,16,7.3,116,0,1,RosaDa00
311,Ed Dickson,CAR,27,TE,16,10,17,10,115,11.5,1,9,52.9,34,0.6,7.2,58.8%,6.8,,,0,0,,,,,,10,11.5,115,1,1,DickEd00
312,Robert Meachem,NOR,30,WR,11,2,20,7,114,16.3,0,7,35.0,25,0.6,10.4,35.0%,5.7,,,0,0,,,,,,7,16.3,114,0,,MeacRo00
313,Darrin Reaves,CAR,21,RB,6,1,8,5,31,6.2,0,1,37.5,16,0.8,5.2,62.5%,3.9,31,78,0,3,35.5,9,2.5,13.0,5.2,36,3.0,109,0,,ReavDa00
314,Jacob Tamme,DEN,29,TE,15,0,28,14,109,7.8,2,4,39.3,26,0.9,7.3,50.0%,3.9,,,0,0,,,,,,14,7.8,109,2,1,TammJa00
315,Junior Hemingway,KAN,26,WR,14,1,22,12,108,9.0,0,8,45.5,17,0.9,7.7,54.5%,4.9,,,0,0,,,,,,12,9.0,108,0,,HemiJu00
316,John Kuhn*+,GNB,32,FB,16,2,4,4,23,5.8,0,0,75.0,9,0.3,1.4,100.0%,5.8,24,85,1,4,54.2,11,3.5,5.3,1.5,28,3.9,108,1,,KuhnJo00
317,Ronnie Brown,2TM,33,RB,10,0,8,5,44,8.8,0,2,37.5,24,0.5,4.4,62.5%,5.5,20,63,0,10,50.0,11,3.2,6.3,2.0,25,4.3,107,0,,BrowRo05
318,Derek Carrier,SFO,24,TE,11,1,14,9,105,11.7,0,4,64.3,23,0.8,9.5,64.3%,7.5,1,2,0,1,100.0,2,2.0,0.2,0.1,10,10.7,107,0,1,CarrDe00
319,Gavin Escobar,DAL,23,TE,16,1,13,9,105,11.7,4,7,69.2,26,0.6,6.6,69.2%,8.1,,,0,0,,,,,,9,11.7,105,4,,EscoGa00
320,Josh Huff,PHI,23,WR,12,0,18,8,98,12.3,0,4,38.9,44,0.7,8.2,44.4%,5.4,1,7,0,1,100.0,7,7.0,0.6,0.1,9,11.7,105,0,1,HuffJo00
321,Dane Sanzenbacher,CIN,26,WR,10,1,15,9,105,11.7,0,5,60.0,26,0.9,10.5,60.0%,7.0,1,-1,0,1,0.0,-1,-1.0,-0.1,0.1,10,10.4,104,0,1,SanzDa00
322,Darrel Young,WAS,27,RB,16,10,14,11,81,7.4,2,6,50.0,20,0.7,5.1,78.6%,5.8,9,22,3,6,66.7,14,2.4,1.4,0.6,20,5.2,103,5,,YounDa01
323,Michael Campanaro,BAL,23,WR,4,0,9,7,102,14.6,1,5,66.7,19,1.8,25.5,77.8%,11.3,,,0,0,,,,,,7,14.6,102,1,,CampMi02
324,Kevin Norwood,SEA,25,WR,9,2,10,9,102,11.3,0,5,60.0,31,1.0,11.3,90.0%,10.2,,,0,0,,,,,,9,11.3,102,0,,NorwKe00
325,Philip Rivers,SDG,33,QB,16,16,,,,,0,0,,,,,,,37,102,0,11,27.0,17,2.8,6.4,2.3,37,2.8,102,0,8,RivePh00
326,Eric Weems,ATL,29,WR,16,0,11,10,102,10.2,2,5,81.8,40,0.6,6.4,90.9%,9.3,,,0,0,,,,,,10,10.2,102,2,,WeemEr00
327,Chris Owusu,2TM,24,WR,8,0,6,6,78,13.0,1,8,83.3,36,0.8,9.8,100.0%,13.0,1,23,1,2,100.0,23,23.0,2.9,0.1,7,14.4,101,2,,OwusCh00
328,Josh Morgan,CHI,29,WR,14,7,19,10,70,7.0,1,4,42.1,13,0.7,5.0,52.6%,3.7,2,30,0,1,100.0,21,15.0,2.1,0.1,12,8.3,100,1,,MorgJo00
329,Charlie Whitehurst,TEN,32,QB,7,5,0,0,10,,0,0,,10,0.0,1.4,0.0%,,20,90,0,6,35.0,23,4.5,12.9,2.9,20,5.0,100,0,3,WhitCh02
330,Brandon Bolden,NWE,24,RB,16,2,6,2,8,4.0,0,0,0.0,4,0.1,0.5,33.3%,1.3,28,89,1,5,39.3,17,3.2,5.6,1.8,30,3.2,97,1,,BoldBr00
331,Justin Brown,PIT,23,WR,8,1,21,12,94,7.8,0,4,47.6,18,1.5,11.8,57.1%,4.5,,,0,0,,,,,,12,7.8,94,0,1,BrowJu00
332,Adrian Peterson,MIN,29,RB,1,1,3,2,18,9.0,0,1,66.7,9,2.0,18.0,66.7%,6.0,21,75,0,4,42.9,17,3.6,75.0,21.0,23,4.0,93,0,,PeteAd01
333,Matthew Stafford*,DET,26,QB,16,16,,,,,0,0,,,,,,,43,93,2,11,27.9,18,2.2,5.8,2.7,43,2.2,93,2,8,StafMa00
334,Derek Carr,OAK,23,QB,16,16,1,0,0,,0,0,0.0,0,0.0,0.0,0.0%,0.0,29,92,0,12,37.9,41,3.2,5.8,1.8,29,3.2,92,0,10,CarrDe02
335,Ryan Griffin,HOU,24,TE,16,2,16,10,91,9.1,1,5,56.3,25,0.6,5.7,62.5%,5.7,,,0,0,,,,,,10,9.1,91,1,,GrifRy00
336,A.J. Jenkins,KAN,25,WR,9,2,15,9,93,10.3,0,5,40.0,27,1.0,10.3,60.0%,6.2,2,-2,0,0,0.0,0,-1.0,-0.2,0.2,11,8.3,91,0,1,JenkA.00
337,Bruce Ellington,SFO,23,WR,13,0,12,6,62,10.3,2,5,41.7,20,0.5,4.8,50.0%,5.2,6,28,1,2,66.7,15,4.7,2.2,0.5,12,7.5,90,3,1,ElliBr00
338,Mike Brown,JAX,25,WR,5,1,15,7,88,12.6,0,5,40.0,17,1.4,17.6,46.7%,5.9,,,0,0,,,,,,7,12.6,88,0,1,BrowMi00
339,T.J. Graham,NYJ,25,WR,12,0,8,3,87,29.0,1,2,37.5,67,0.3,7.3,37.5%,10.9,,,0,0,,,,,,3,29.0,87,1,,GrahT.00
