Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby McCain,CB,69.5,195,4.51,1.007116631,17,-0.622935315,36,0.56954678,130,1.565525842,3.82,2.150247588,6.8,1.198831013,5.868332539,0.978055423,5,145,140,,16,0,254,191,445,27.8125,,16,0,620,215,835,52.1875,,16,0,662,189,851,53.1875,
Bryce Callahan,CB,69,184,4.49,1.073973115,,,,,,,,,,,1.073973115,1.073973115,,,,,9,0,322,68,390,43.33333333,,11,0,489,17,506,46,,12,0,512,1,513,42.75,
Byron Jones,CB,72.63,199,4.49,1.073973115,,,44.5,2.586363367,147,3.354757195,3.94,1.678451915,6.78,1.249428833,9.942974427,1.988594885,1,27,26,,16,0,871,186,1057,66.0625,,16,0,982,227,1209,75.5625,,16,0,910,219,1129,70.5625,
Cam Thomas,CB,73,195,4.53,0.940260147,,,,,,,,,,,0.940260147,0.940260147,,,,,15,0,185,13,198,13.2,,16,0,392,43,435,27.1875,,1,0,15,0,15,15,
Cariel Brooks,CB,69,196,4.53,0.940260147,,,,,,,,,,,0.940260147,0.940260147,,,,,3,0,0,36,36,12,,,,,,0,,,,,,,0,,
Charles Gaines,CB,69.88,180,4.44,1.241114326,,,34.5,0.21363797,123,0.82878352,4.2,0.656227958,7.07,0.515760444,3.455524219,0.691104844,6,189,183,,6,0,264,18,282,47,,,,,,0,,,,,,,0,,
Charles Garrett,CB,71,205,4.58,0.773118936,,,,,,,,,,,0.773118936,0.773118936,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Cheatham Norrils,CB,73,195,4.62,0.639405968,,,,,,,,,,,0.639405968,0.639405968,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Chris Dunkley,CB,71,182,4.46,1.174257842,,,,,,,,,,,1.174257842,1.174257842,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Cody Riggs,CB,69,186,4.56,0.839975421,,,,,,,,,,,0.839975421,0.839975421,,,,,11,0,170,195,365,33.18181818,,3,0,0,48,48,16,,,,,,0,,
Craig Mager,CB,71.5,201,4.44,1.241114326,17,-0.622935315,38,1.044091859,130,1.565525842,4.07,1.167339937,6.83,1.122934283,5.518070933,0.919678489,3,83,82,,10,0,226,96,322,32.2,,11,0,409,128,537,48.81818182,,2,0,1,39,40,20,
Curtis Riley,CB,73,190,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,,,,,,,,,0,,,4,0,0,56,56,14,,7,0,161,104,265,37.85714286,
Damian Swann,CB,72,189,4.5,1.040544873,,,33,-0.142270839,118,0.302539004,,,,,1.200813038,0.400271013,5,167,162,,7,0,230,36,266,38,,,,,,0,,,,,,,0,,
DeAndre Jones,CB,73,186,4.54,0.906831905,,,,,,,,,,,0.906831905,0.906831905,,,,,,,,,0,,,,,,,0,,,,,,,0,,
DeAnte Saunders,CB,69,185,4.5,1.040544873,,,,,,,,,,,1.040544873,1.040544873,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Deshazor Everett,CB,71,188,4.49,1.073973115,,,,,,,,,,,1.073973115,1.073973115,,,,,11,0,38,201,239,21.72727273,,16,0,38,283,321,20.0625,,14,0,589,235,824,58.85714286,
