Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deion Belue,CB,70.75,182,4.48,0.999523002,11,-1.36252326,,,,,,,,,-0.363000258,-0.181500129,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Demetri Goodson,CB,71,194,4.52,0.86012017,11,-1.36252326,37,0.973409446,123,0.958083482,4.34,0.116076133,6.8,1.106041069,2.65120704,0.44186784,6,197,177,,6,0,0,75,75,12.5,,14,0,72,199,271,19.35714286,,6,0,182,63,245,40.83333333,,,,,,0,,
E.J. Gaines,CB,69.63,190,4.44,1.138925834,15,-0.775073724,,,,,,,,,0.36385211,0.181926055,6,188,169,,15,0,877,92,969,64.6,,,,,,0,,,11,0,614,31,645,58.63636364,,11,0,654,41,695,63.18181818,
Jabari Price,CB,70.63,200,4.45,1.104075126,16,-0.62821134,,,,,4.3,0.278076469,7.04,0.512707721,1.266647976,0.316661994,7,225,190,,14,0,46,191,237,16.92857143,,,,,,0,,,,,,,0,,,,,,,0,,
Jason Verrett,CB,69.5,189,4.38,1.348030083,,,39,1.42264984,127,1.404618819,4,1.493078987,6.69,1.37798552,7.046363249,1.40927265,1,25,25,,6,0,219,26,245,40.83333333,,14,0,719,88,807,57.64285714,,4,0,258,3,261,65.25,,1,0,63,4,67,67,
Jaylen Watkins,CB,71.5,194,4.41,1.243477959,22,0.252962963,,,,,,,,,1.496440922,0.748220461,4,101,97,,4,0,30,42,72,18,,4,0,84,78,162,40.5,,16,0,387,230,617,38.5625,,12,0,168,164,332,27.66666667,
Justin Gilbert,CB,72.13,202,4.37,1.382880791,20,-0.040761805,35.5,0.63647915,125,1.18135115,,,6.92,0.809374395,3.969323681,0.793864736,1,8,8,,14,0,361,49,410,29.28571429,,9,0,50,151,201,22.33333333,,12,0,11,112,123,10.25,,,,,,0,,
Keith McGill,CB,75.38,211,4.51,0.894970878,,,39,1.42264984,128,1.516252653,4.18,0.764077476,7.29,-0.105347851,4.492602997,0.898520599,4,116,110,,12,0,143,205,348,29,,13,0,22,315,337,25.92307692,,16,0,147,281,428,26.75,,13,0,69,279,348,26.76923077,
Keith Reaser,CB,70.75,189,4.43,1.173776542,22,0.252962963,,,,,,,,,1.426739506,0.713369753,5,170,155,,,,,,0,,,13,0,79,38,117,9,,15,0,353,148,501,33.4,,2,0,50,29,79,39.5,
Kendall James,CB,70.5,180,4.44,1.138925834,9,-1.656248028,39,1.42264984,,,4.19,0.723577392,6.81,1.081318846,2.710223885,0.542044777,6,184,165,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
