Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Ertz,TE,77,249,4.76,0.086795195,24,0.499517854,30.5,-0.422703774,111,-0.462586279,4.47,-0.142053133,7.08,0.352194367,-0.08883577,-0.014805962,2,35,33,,16,450,0,167,617,38.5625,,16,588,0,210,798,49.875,,15,789,0,83,872,58.13333333,,14,849,0,137,986,70.42857143,,14,776,0,83,859,61.35714286,
Aaron Mellette,WR,74.38,217,4.54,0.816236952,9,-1.633459845,33.5,0.2717315,123,0.804390706,4.41,0.072783407,7.11,0.278208037,0.609890759,0.10164846,7,238,188,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Ace Sanders,WR,67,173,4.58,0.683611178,7,-1.917856871,32,-0.075486137,117,0.170902213,4.37,0.216007767,6.81,1.018071333,0.095249484,0.015874914,4,101,89,,15,601,0,62,663,44.2,,12,59,0,63,122,10.16666667,,,,,,0,,,,,,,0,,,,,,,0,,
Alan Bonner,WR,70.25,193,4.59,0.650454735,14,-0.922467278,33,0.155992288,117,0.170902213,4.15,1.003741748,,,1.058623706,0.211724741,6,195,159,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Alec Lemon,WR,73.25,202,4.59,0.650454735,7,-1.917856871,32,-0.075486137,112,-0.357004864,4.29,0.502456488,7.04,0.450842807,-0.746593843,-0.124432307,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Brandon Kaufman,WR,77,216,4.67,0.385203187,9,-1.633459845,33.5,0.2717315,115,-0.040260618,4.44,-0.034634863,7.11,0.278208037,-0.7732126,-0.128868767,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Chris Harper,WR,72.75,229,4.55,0.783080509,20,-0.069276199,35.5,0.73468835,116,0.065320798,4.39,0.144395587,6.89,0.820774455,2.4789835,0.413163917,4,123,106,,4,2,0,18,20,5,,,,,,0,,,5,67,0,9,76,15.2,,9,230,0,2,232,25.77777778,,,,,,0,,
Cobi Hamilton,WR,73.75,212,4.56,0.749924065,11,-1.349062818,29.5,-0.654182199,107,-0.884911941,4.31,0.430844308,,,-1.707388586,-0.341477717,6,197,161,,,,,,0,,,,,,,0,,,,,,,0,,,11,384,0,57,441,40.09090909,,3,53,0,15,68,22.66666667,
Conner Vernon,WR,72.25,196,4.68,0.352046743,,,32.5,0.040253076,125,1.015553537,4.22,0.753099118,6.93,0.722126015,2.883078489,0.576615698,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Cordarrelle Patterson,WR,73.88,216,4.42,1.214114274,,,37,1.081905988,128,1.332297783,,,,,3.628318045,1.209439348,1,29,28,,16,436,0,100,536,33.5,,16,566,0,75,641,40.0625,,16,57,0,70,127,7.9375,,16,531,0,124,655,40.9375,,16,430,0,157,587,36.6875,
Corey Fuller,WR,74.25,204,4.43,1.180957831,12,-1.206864305,31.5,-0.191225349,120,0.48764646,,,,,0.270514636,0.067628659,6,171,142,,,,,,0,,,16,410,0,88,498,31.125,,12,169,0,136,305,25.41666667,,,,,,0,,,,,,,0,,
